prod_name,prc_before_dsc,prc_after_dsc,dsc_percentage,prod_review
Frida Frida Fabric Softener Spring Breeze 2L,151.0,96.0,37.0,4.4
ADIDAS Barreda Shoes,4.0,2.0,47.0,4.7
Eva Eva Skin Care Senses Body Lotion Summer Twist 240 Ml,141.0,103.0,27.0,4.7
Shaan Lip Balm Rose 5 gm,100.0,74.0,26.0,4.2
Superkids 2 In 1 Shampoo & Conditioner 500 ml,220.0,164.0,25.0,4.4
Luna Emollient Soft Cream with Vitamin E & Collagen 50 Gm,40.0,24.0,40.0,4.2
Shaan Soothing Gel 120 gm,190.0,139.0,27.0,4.3
Molfix 3D New Born Diapers - Size 1 - 60 Pcs,457.0,329.0,28.0,4.2
Testa Toro T20 Casual Sneaker - Basic Comfortable Design With Bold Colors,509.0,459.0,10.0,4.0
Carina Cookies Bralette - Comfortable Everyday Bra,175.0,126.0,28.0,4.3
Defacto Boxy Fit Crew Neck Short Sleeve T-Shirt,499.0,474.0,5.0,5.0
Hair Code Freestyle Wetlook Hair Gel Jar - 160ml + Extra 30%,,35.0,,
Bobai Sunscreen Tinted Extra Lightening gel spf 50,350.0,259.0,26.0,3.9
Sunsilk Natural Recharge Shampoo with Moisturizing Coconut Oil – 350 Ml,110.0,79.0,28.0,4.2
Defacto New Regular Fit Crew Neck Short Sleeve T-Shirt,399.0,340.0,15.0,4.2
Luna Rose Special Lip Moisturizer - 3.5 GM,25.0,18.0,28.0,4.4
"Testa Toro Q3 A Classic Neutral-design Shoe Built For Comfort, Made With Mixed Materials",639.0,489.0,23.0,4.0
Frida Frida Sensation Arabesque Air Freshener - 460 ml,89.0,57.0,36.0,4.5
ADIDAS IDAS DBF11 Adilette Aqua Swim Sandals/Slippers - Core Black,1.0,763.0,60.0,4.5
Renol Hand Sanitizer Gel with Lemon Fragrance - 50 ml,20.0,15.0,25.0,4.3
Defacto cto Woman Standart Fit Knitted Bottom Trousers,2.0,441.0,81.0,5.0
Cybele Smooth N'Wear Powder Blush No. 5 Rose Petal,275.0,199.0,28.0,4.6
Defacto cto Man Slim Fit Knitted Short,699.0,319.0,54.0,4.0
Feba Liquid Dish Cleaner With Apple Scent - 520gm,38.0,26.0,30.0,4.2
Feba Rinse For Automatic Dishwashing - 285ml,166.0,99.0,40.0,4.2
Kiddy XL Jumbo Baby Diapers Size 5 - 64 Pcs,541.0,359.0,34.0,4.0
Carina Pack Of 5 Colored Bikini Panties,465.0,323.0,31.0,4.4
Frida Super Freshness Fabric Freshener - 1L,94.0,58.0,39.0,4.2
Seropipe Hair Conditioner 300 ml - N/A,295.0,219.0,26.0,4.3
Familia New Kitchen Towels - 9+3 Pcs,181.0,136.0,25.0,4.5
Clary Hair Fresh Scalp 300 ml,390.0,285.0,27.0,4.4
Eva Care Cozy Dream Body Splash 240ml,259.0,183.0,29.0,4.3
NIVEA Fresh Natural Deodorant for Women with Ocean Extracts 50ml,100.0,69.0,31.0,4.2
L'Oreal Paris eal Paris Elvive Dream Long Straight Shampoo - 600 ML,240.0,199.0,17.0,4.3
Defacto cto Man Standard Fit Short Sleeve Knitted T-Shirt - Blue,599.0,268.0,56.0,4.3
"Brix Disinfecting Multi-Purpose Cleaner, Jasmine - 730ml",64.0,39.0,39.0,4.3
